,package_id,centroid_latitude,centroid_longitude
2147,ess-dive-3a0693def650a7b-20240723T140907678,71.275,-156.55
2148,ess-dive-d54eec271ab601a-20240723T135811215,71.275,-156.55
2149,ess-dive-99c37f341b68c1b-20240722T234513650,38.957,-106.965
2150,ess-dive-9a897ad08328aea-20240718T212940145,64.735492,-165.95039
2151,ess-dive-eb4670d568f80ef-20240718T204525186,61.150000000000006,-154.65
2152,ess-dive-e0f7db2bf48b582-20240718T203418881,71.275,-156.55
2153,ess-dive-9f6920b930b941d-20240718T184508454,64.79199273,-164.98802235
2154,ess-dive-5b6529c66312157-20240718T120020410,37.9711,-122.7301
2155,ess-dive-399aad96bb4cfe4-20240718T002620902,65.491,-163.665
2156,ess-dive-bb624a90c5ee36e-20240717T233723250,64.735492,-165.95039
2157,ess-dive-167da87d9f8b8f1-20240717T231925110,65.1627065,-164.823224
2158,ess-dive-120a44f1c8a626c-20240717T182120652,41.6219,-83.2381
2159,ess-dive-120a44f1c8a626c-20240717T182120652,41.5018,-83.0456
2160,ess-dive-120a44f1c8a626c-20240717T182120652,41.3759,-82.5064
2161,ess-dive-120a44f1c8a626c-20240717T182120652,41.3827,-82.515
2162,ess-dive-120a44f1c8a626c-20240717T182120652,41.3745,-82.5169
2163,ess-dive-120a44f1c8a626c-20240717T182120652,41.3731,-82.5076
2164,ess-dive-120a44f1c8a626c-20240717T182120652,41.3765,-82.5081
2165,ess-dive-120a44f1c8a626c-20240717T182120652,43.5831,-83.688
2166,ess-dive-120a44f1c8a626c-20240717T182120652,43.9687,-83.862
2167,ess-dive-120a44f1c8a626c-20240717T182120652,39.6696,-75.4661
2168,ess-dive-120a44f1c8a626c-20240717T182120652,37.4142,-76.715
2169,ess-dive-120a44f1c8a626c-20240717T182120652,37.3047,-76.553
2170,ess-dive-120a44f1c8a626c-20240717T182120652,37.5687,-76.8871
2171,ess-dive-120a44f1c8a626c-20240717T182120652,37.2197,-76.4133
2172,ess-dive-120a44f1c8a626c-20240717T182120652,46.6536,-92.2269
2173,ess-dive-120a44f1c8a626c-20240717T182120652,46.8143,-92.0515
2174,ess-dive-120a44f1c8a626c-20240717T182120652,41.6053,-83.1536
